Client,Best_Offer
316,CL
1231,CL
775,CL
298,CL
1155,CL
102,CL
1159,CL
350,CL
1499,CL
495,CL
1160,CL
558,CL
448,CL
1564,CL
1119,CL
557,CL
917,CL
692,CL
691,CL
1298,CL
1558,CL
1121,CL
492,CL
1171,CL
1345,CL
1030,CL
1513,CL
404,CL
1035,CL
679,CL
1538,CL
491,CL
23,CL
614,CL
729,CL
632,CL
1190,CL
863,CL
408,CL
450,CL
630,CL
1561,CL
747,CL
1267,CL
754,CL
1265,CL
1111,CL
1579,CL
883,CL
1175,CL
1600,CL
1431,CL
1293,CL
682,CL
231,CL
642,CL
1563,CL
348,CL
498,CL
482,CL
1342,CL
1261,CL
1012,CL
1117,CL
1122,CL
970,CL
1173,CL
1169,CL
806,CL
1005,CL
1463,CL
710,CL
235,CL
1204,CL
1524,CL
179,CL
1350,CL
525,CL
911,CL
720,CL
662,CL
1591,CL
561,CL
584,CL
241,CL
544,CL
1041,CL
706,CL
792,CL
83,CL
1091,CL
422,CL
923,CL
1116,CL
285,CL
1078,CL
147,CL
914,CL
82,CL
447,CL
1403,CL
118,CL
1065,CL
1220,CL
1246,CL
1071,CL
1308,CL
961,CL
881,CL
873,CL
380,CL
827,CL
838,CL
703,CL
674,CL
1440,CL
413,CL
1259,CL
1195,CL
519,CL
693,CL
245,CL
1584,CL
300,CL
639,CL
1147,CL
575,CL
1096,CL
1557,CL
1329,CL
809,CL
608,CL
1537,CL
441,CL
960,CL
120,CL
678,CL
1364,CL
156,CL
795,CL
1495,CL
470,CL
329,CL
203,CL
1347,CL
627,CL
215,CL
143,CL
985,CL
878,CL
904,CL
1238,CL
1355,CL
1291,CL
1467,CL
731,CL
527,CL
739,CL
777,CL
1474,CL
518,CL
906,CL
1582,CL
1365,CL
1500,CL
537,CL
855,CL
73,CL
1595,CL
889,CL
1242,CL
327,CL
213,CL
1323,CL
1438,CL
1130,CL
713,CL
802,CL
1425,CL
1592,CL
129,CL
293,CL
271,CL
673,CL
1409,CL
1502,CL
1565,CL
1514,CL
303,CL
859,CL
1292,CL
103,CL
515,CL
1316,CL
1083,CL
1177,CL
444,CL
388,CL
279,CL
808,CL
956,CL
1186,CL
421,CL
900,CL
384,CL
1253,CL
828,CL
1180,CL
732,CL
284,CL
1436,CL
1427,CL
730,CL
1058,CL
1534,CL
938,CL
1549,CL
503,CL
141,CL
1391,CL
127,CL
955,CL
282,CL
181,CL
736,CL
1530,CL
959,CL
1110,CL
331,CL
2,CL
225,CL
342,CL
543,CL
888,CL
672,CL
159,CL
967,CL
168,CL
455,CL
1596,CL
1209,CL
846,CL
